Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
370;Marcus Sasser;PG;23;DET;13;0;19.5;3.5;7.5;0.469;1.5;3.8;0.388;2.1;3.8;0.551;0.566;0.5;0.5;1;0.2;2.3;2.5;2.7;0.8;0.1;0.7;1.7;9.1
371;Admiral Schofield;PF;26;ORL;1;0;3;2;4;0.5;1;3;0.333;1;1;1;0.625;0;0;0;0;0;0;0;0;0;0;0;5
372;Dennis Schröder;PG;30;TOR;12;12;31.8;5.4;12.8;0.425;1.9;5.2;0.371;3.5;7.6;0.462;0.5;2.8;3.3;0.846;0.7;2.4;3.1;7.3;1;0.2;1.9;1.8;15.5
373;Dereon Seabron;SG;23;NOP;5;0;10.4;0.8;2.6;0.308;0.2;0.4;0.5;0.6;2.2;0.273;0.346;1;1.2;0.833;0.2;1.2;1.4;0.8;0.4;0.2;0;0.8;2.8
374;Alperen Þengün;C;21;HOU;10;10;31.7;8.3;14.3;0.58;0.6;2.1;0.286;7.7;12.2;0.631;0.601;2.6;4.1;0.634;2.5;5.7;8.2;5.8;1;0.4;2.5;2.9;19.8
375;Brice Sensabaugh;SF;20;UTA;1;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;1;1;2;0;0;0;0;0;0
376;Collin Sexton;SG;25;UTA;12;0;19.8;4;8.8;0.453;0.8;2.8;0.294;3.2;6;0.528;0.5;3.1;3.5;0.881;0.8;1.7;2.4;3.2;0.3;0.3;1.8;1.8;11.9
377;Landry Shamet;SG;26;WAS;8;0;15.4;2.6;6.3;0.42;1.3;4.1;0.303;1.4;2.1;0.647;0.52;0.1;0.3;0.5;0.1;1.1;1.3;1.3;0.6;0.1;0.4;1.6;6.6
378;Day'Ron Sharpe;C;22;BRK;12;0;14.1;2.6;4.8;0.534;0;0.2;0;2.6;4.7;0.554;0.534;1.5;2.3;0.643;2.5;4;6.5;0.4;0.3;0.5;1.3;2;6.7
379;Shaedon Sharpe;SG;20;POR;12;11;38.4;6.2;15.2;0.407;2.1;6.3;0.329;4.1;8.8;0.462;0.475;4.2;5.1;0.82;1.8;3.9;5.8;3.4;0.9;0.6;3.5;2.9;18.6
380;Ben Sheppard;SG;22;IND;3;0;10.7;1.7;4;0.417;1;2.7;0.375;0.7;1.3;0.5;0.542;0;0;0;0.3;1;1.3;0.7;0;0;0;1.3;4.3
381;Pascal Siakam;PF;29;TOR;12;12;34.1;7.6;15.6;0.487;1;4.3;0.235;6.6;11.3;0.581;0.519;2.9;4.2;0.7;1.3;5.9;7.2;4.8;0.8;0.2;2.8;2.6;19.1
382;Ben Simmons;PG;27;BRK;6;6;31.8;3.2;6;0.528;0;0;0;3.2;6;0.528;0.528;0.2;0.7;0.25;2.7;8.2;10.8;6.7;0.5;0.8;2.5;2.7;6.5
383;Anfernee Simons;SG;24;POR;1;1;27;6;14;0.429;2;6;0.333;4;8;0.5;0.5;4;4;1;1;1;2;4;2;0;0;2;18
384;Jericho Sims;C;25;NYK;6;0;3;0.2;0.3;0.5;0;0;0;0.2;0.3;0.5;0.5;0.2;0.5;0.333;0.2;1.3;1.5;0.2;0;0;0;0.2;0.5
385;Jalen Slawson;SF;24;SAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
